connection_id,connection_type,upstream_link,downstream_link,diverge_prop,priority
92462250_0_1986595690_0,diverge,92462250_0,1986595690_0,0.3,0
92462250_0_6316532940_0,diverge,92462250_0,6316532940_0,0.7,0
6316532940_0_2340132660_0,diverge,6316532940_0,2340132660_0,0.05,0
6316532940_0_3545875210_0,diverge,6316532940_0,3545875210_0,0.8909090909090909,0
6316532940_0_6316532951_0,diverge,6316532940_0,6316532951_0,0.05909090909090909,0
9436008871_0_3545875221_0,diverge,9436008871_0,3545875221_0,0.9776119402985075,0
9436008871_0_6115824850_0,diverge,9436008871_0,6115824850_0,0.022388059701492536,0
-1017931_0_-1017891_1,diverge,-1017931_0,-1017891_1,0.016611295681063124,0
-1017931_0_-1017891_0,diverge,-1017931_0,-1017891_0,0.9833887043189369,0
-1017891_1_2904058730_0,ordinary,-1017891_1,2904058730_0,1.0,0
-1017891_0_2904058740_0,diverge,-1017891_0,2904058740_0,0.05405405405405406,0
-1017891_0_6292781741_0,diverge,-1017891_0,6292781741_0,0.9459459459459459,0
-1018360_0_-1018850_0,diverge,-1018360_0,-1018850_0,1.0,0
92589250_0_-1018850_0,diverge,92589250_0,-1018850_0,0.3333333333333333,0
92589250_0_3545875221_0,diverge,92589250_0,3545875221_0,0.3333333333333333,0
92589250_0_6115824850_0,diverge,92589250_0,6115824850_0,0.3333333333333333,0
-1018850_0_92462251_0,diverge,-1018850_0,92462251_0,0.0037174721189591076,0
-1018850_0_6316532940_0,diverge,-1018850_0,6316532940_0,0.9962825278810409,0
3545875221_0_-1018811_0,ordinary,3545875221_0,-1018811_0,1.0,0
-1018811_0_-1017931_0,diverge,-1018811_0,-1017931_0,1.0,0
-1017890_0_-1018360_0,diverge,-1017890_0,-1018360_0,1.0,0
3545875211_0_2340132660_0,diverge,3545875211_0,2340132660_0,0.017167381974248927,0
3545875211_0_6316532941_0,diverge,3545875211_0,6316532941_0,0.9656652360515021,0
3545875211_0_6316532951_0,diverge,3545875211_0,6316532951_0,0.017167381974248927,0
6316532941_0_92462251_0,diverge,6316532941_0,92462251_0,0.01090909090909091,0
6316532941_0_9436008871_0,diverge,6316532941_0,9436008871_0,0.9890909090909091,0
5331465911_0_3545875210_0,diverge,5331465911_0,3545875210_0,0.0379746835443038,0
5331465911_0_6316532941_0,diverge,5331465911_0,6316532941_0,0.3291139240506329,0
5331465911_0_6316532951_0,diverge,5331465911_0,6316532951_0,0.6329113924050633,0
3545875230_0_-1017890_0,diverge,3545875230_0,-1017890_0,0.8581818181818182,0
3545875230_0_2904058730_0,diverge,3545875230_0,2904058730_0,0.02181818181818182,0
3545875230_0_2904058740_0,diverge,3545875230_0,2904058740_0,0.12,0
2904058720_1_6292781741_0,ordinary,2904058720_1,6292781741_0,1.0,0
2904058720_0_-1017890_0,diverge,2904058720_0,-1017890_0,0.8128654970760234,0
2904058720_0_2904058740_0,diverge,2904058720_0,2904058740_0,0.1871345029239766,0
6316532950_0_2340132660_0,diverge,6316532950_0,2340132660_0,0.9375,0
6316532950_0_6316532941_0,diverge,6316532950_0,6316532941_0,0.0625,0
2904058741_0_-1017890_0,diverge,2904058741_0,-1017890_0,0.7,0
2904058741_0_2904058730_0,diverge,2904058741_0,2904058730_0,0.2,0
2904058741_0_6292781741_0,diverge,2904058741_0,6292781741_0,0.1,0
